n	i	ti	Ai
1	0	-0.577350269	1
1	1	0.577350269	1
2	0	-0.774596669	0.555555556
2	1	0	0.888888889
2	2	0.774596669	0.555555556
3	0	-0.861136312	0.347854845
3	1	-0.339981044	0.652145155
3	2	0.339981044	0.652145155
3	3	0.861136312	0.347854845
4	0	-0.906179846	0.236926885
4	1	-0.53846931	0.47862867
4	2	0	0.568888889
4	3	0.53846931	0.47862867
4	4	0.906179846	0.236926885
5	0	-0.932469514	0.1713245
5	1	-0.661209386	0.3607616
5	2	-0.238619186	0.4679139
5	3	0.238619186	0.4679139
5	4	0.661209386	0.3607616
5	5	0.932469514	0.1713245
6	0	-0.949107912	0.129484966
6	1	-0.741531185	0.279705391
6	2	-0.405845151	0.381830051
6	3	0	0.417959184
6	4	0.405845151	0.381830051
6	5	0.741531185	0.279705391
6	6	0.949107912	0.129484966
7	0	-0.960289856	0.101228536
7	1	-0.796666477	0.222381034
7	2	-0.52553241	0.313706646
7	3	-0.183434642	0.362683783
7	4	0.183434642	0.362683783
7	5	0.52553241	0.313706646
7	6	0.796666477	0.222381034
7	7	0.960289856	0.101228536
